RunTime,Database,BatchSize,Parallel,Comment,Sequence,FileName,Start,End,Duration,TotalRecords,TotalInifiniteValues
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,72,../../data/meterdata/london/block_9.csv,24/04/2025 12:20:59 +02:00,24/04/2025 12:21:03 +02:00,4000,1563072,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,73,../../data/meterdata/london/block_23.csv,24/04/2025 12:21:03 +02:00,24/04/2025 12:21:06 +02:00,3000,1417296,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,74,../../data/meterdata/london/block_37.csv,24/04/2025 12:21:06 +02:00,24/04/2025 12:21:10 +02:00,4000,1509888,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,75,../../data/meterdata/london/block_105.csv,24/04/2025 12:21:10 +02:00,24/04/2025 12:21:13 +02:00,3000,1517088,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,76,../../data/meterdata/london/block_111.csv,24/04/2025 12:21:13 +02:00,24/04/2025 12:21:14 +02:00,1000,467520,288
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,77,../../data/meterdata/london/block_93.csv,24/04/2025 12:21:14 +02:00,24/04/2025 12:21:18 +02:00,4000,1600032,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,78,../../data/meterdata/london/block_87.csv,24/04/2025 12:21:18 +02:00,24/04/2025 12:21:22 +02:00,4000,1509600,869
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,79,../../data/meterdata/london/block_50.csv,24/04/2025 12:21:22 +02:00,24/04/2025 12:21:25 +02:00,3000,1535520,864
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,80,../../data/meterdata/london/block_44.csv,24/04/2025 12:21:25 +02:00,24/04/2025 12:21:29 +02:00,4000,1604160,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,81,../../data/meterdata/london/block_78.csv,24/04/2025 12:21:29 +02:00,24/04/2025 12:21:32 +02:00,3000,1469520,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,82,../../data/meterdata/london/block_79.csv,24/04/2025 12:21:32 +02:00,24/04/2025 12:21:36 +02:00,4000,1437408,910
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,83,../../data/meterdata/london/block_45.csv,24/04/2025 12:21:36 +02:00,24/04/2025 12:21:39 +02:00,3000,1576512,882
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,84,../../data/meterdata/london/block_51.csv,24/04/2025 12:21:39 +02:00,24/04/2025 12:21:43 +02:00,4000,1566624,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,85,../../data/meterdata/london/block_86.csv,24/04/2025 12:21:43 +02:00,24/04/2025 12:21:46 +02:00,3000,1392288,882
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,86,../../data/meterdata/london/block_92.csv,24/04/2025 12:21:46 +02:00,24/04/2025 12:21:50 +02:00,4000,1543728,882
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,87,../../data/meterdata/london/block_84.csv,24/04/2025 12:21:50 +02:00,24/04/2025 12:21:53 +02:00,3000,1351584,882
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,88,../../data/meterdata/london/block_90.csv,24/04/2025 12:21:53 +02:00,24/04/2025 12:21:56 +02:00,3000,1425312,882
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,89,../../data/meterdata/london/block_47.csv,24/04/2025 12:21:56 +02:00,24/04/2025 12:22:00 +02:00,4000,1684608,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,90,../../data/meterdata/london/block_53.csv,24/04/2025 12:22:00 +02:00,24/04/2025 12:22:04 +02:00,4000,1473552,905
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,91,../../data/meterdata/london/block_52.csv,24/04/2025 12:22:04 +02:00,24/04/2025 12:22:07 +02:00,3000,1501536,882
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,92,../../data/meterdata/london/block_46.csv,24/04/2025 12:22:07 +02:00,24/04/2025 12:22:11 +02:00,4000,1633872,882
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,93,../../data/meterdata/london/block_91.csv,24/04/2025 12:22:11 +02:00,24/04/2025 12:22:15 +02:00,4000,1425984,887
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,94,../../data/meterdata/london/block_85.csv,24/04/2025 12:22:15 +02:00,24/04/2025 12:22:18 +02:00,3000,1408080,828
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,95,../../data/meterdata/london/block_81.csv,24/04/2025 12:22:18 +02:00,24/04/2025 12:22:21 +02:00,3000,1337952,882
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,96,../../data/meterdata/london/block_95.csv,24/04/2025 12:22:21 +02:00,24/04/2025 12:22:24 +02:00,3000,1530720,910
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,97,../../data/meterdata/london/block_42.csv,24/04/2025 12:22:24 +02:00,24/04/2025 12:22:28 +02:00,4000,1534080,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,98,../../data/meterdata/london/block_56.csv,24/04/2025 12:22:28 +02:00,24/04/2025 12:22:31 +02:00,3000,1514448,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,99,../../data/meterdata/london/block_57.csv,24/04/2025 12:22:31 +02:00,24/04/2025 12:22:35 +02:00,4000,1494432,864
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,100,../../data/meterdata/london/block_43.csv,24/04/2025 12:22:35 +02:00,24/04/2025 12:22:39 +02:00,4000,1525056,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,101,../../data/meterdata/london/block_94.csv,24/04/2025 12:22:39 +02:00,24/04/2025 12:22:43 +02:00,4000,1605216,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,102,../../data/meterdata/london/block_80.csv,24/04/2025 12:22:43 +02:00,24/04/2025 12:22:47 +02:00,4000,1393968,864
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,103,../../data/meterdata/london/block_96.csv,24/04/2025 12:22:47 +02:00,24/04/2025 12:22:50 +02:00,3000,1545456,905
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,104,../../data/meterdata/london/block_82.csv,24/04/2025 12:22:50 +02:00,24/04/2025 12:22:54 +02:00,4000,1356192,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,105,../../data/meterdata/london/block_69.csv,24/04/2025 12:22:54 +02:00,24/04/2025 12:22:57 +02:00,3000,1347168,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,106,../../data/meterdata/london/block_55.csv,24/04/2025 12:22:57 +02:00,24/04/2025 12:23:01 +02:00,4000,1462800,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,107,../../data/meterdata/london/block_41.csv,24/04/2025 12:23:01 +02:00,24/04/2025 12:23:05 +02:00,4000,1490496,882
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,108,../../data/meterdata/london/block_40.csv,24/04/2025 12:23:05 +02:00,24/04/2025 12:23:09 +02:00,4000,1515408,911
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,109,../../data/meterdata/london/block_54.csv,24/04/2025 12:23:09 +02:00,24/04/2025 12:23:13 +02:00,4000,1504848,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,110,../../data/meterdata/london/block_68.csv,24/04/2025 12:23:13 +02:00,24/04/2025 12:23:17 +02:00,4000,1424208,864
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,111,../../data/meterdata/london/block_83.csv,24/04/2025 12:23:17 +02:00,24/04/2025 12:23:20 +02:00,3000,1425840,887
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,112,../../data/meterdata/london/block_97.csv,24/04/2025 12:23:20 +02:00,24/04/2025 12:23:24 +02:00,4000,1535664,900
