Sequence,FileName,Start,End,Duration,TotalRecords,TotalInifiniteValues
99,../../data/meterdata/london/block_57.csv,24/04/2025 14:02:18 +02:00,24/04/2025 14:02:26 +02:00,8169,1494432,864
100,../../data/meterdata/london/block_43.csv,24/04/2025 14:02:26 +02:00,24/04/2025 14:02:34 +02:00,8152,1525056,900
101,../../data/meterdata/london/block_94.csv,24/04/2025 14:02:34 +02:00,24/04/2025 14:02:43 +02:00,8584,1605216,900
102,../../data/meterdata/london/block_80.csv,24/04/2025 14:02:43 +02:00,24/04/2025 14:02:50 +02:00,7692,1393968,864
103,../../data/meterdata/london/block_96.csv,24/04/2025 14:02:50 +02:00,24/04/2025 14:03:00 +02:00,9611,1545456,905
104,../../data/meterdata/london/block_82.csv,24/04/2025 14:03:00 +02:00,24/04/2025 14:03:08 +02:00,7603,1356192,900
105,../../data/meterdata/london/block_69.csv,24/04/2025 14:03:08 +02:00,24/04/2025 14:03:16 +02:00,7927,1347168,900
106,../../data/meterdata/london/block_55.csv,24/04/2025 14:03:16 +02:00,24/04/2025 14:03:24 +02:00,8455,1462800,900
107,../../data/meterdata/london/block_41.csv,24/04/2025 14:03:24 +02:00,24/04/2025 14:03:33 +02:00,9087,1490496,882
108,../../data/meterdata/london/block_40.csv,24/04/2025 14:03:33 +02:00,24/04/2025 14:03:41 +02:00,7830,1515408,911
109,../../data/meterdata/london/block_54.csv,24/04/2025 14:03:41 +02:00,24/04/2025 14:03:48 +02:00,7386,1504848,900
110,../../data/meterdata/london/block_68.csv,24/04/2025 14:03:48 +02:00,24/04/2025 14:03:56 +02:00,7566,1424208,864
111,../../data/meterdata/london/block_83.csv,24/04/2025 14:03:56 +02:00,24/04/2025 14:04:05 +02:00,8882,1425840,887
112,../../data/meterdata/london/block_97.csv,24/04/2025 14:04:05 +02:00,24/04/2025 14:04:13 +02:00,8322,1535664,900
