Sequence,FileName,Start,End,Duration,TotalRecords,TotalInifiniteValues
80,../../data/meterdata/london/block_44.csv,24/04/2025 16:53:48 +02:00,24/04/2025 16:53:53 +02:00,5512,1604160,900
81,../../data/meterdata/london/block_78.csv,24/04/2025 16:53:53 +02:00,24/04/2025 16:53:58 +02:00,5070,1469520,900
82,../../data/meterdata/london/block_79.csv,24/04/2025 16:53:58 +02:00,24/04/2025 16:54:03 +02:00,4614,1437408,910
83,../../data/meterdata/london/block_45.csv,24/04/2025 16:54:03 +02:00,24/04/2025 16:54:08 +02:00,5577,1576512,882
84,../../data/meterdata/london/block_51.csv,24/04/2025 16:54:08 +02:00,24/04/2025 16:54:14 +02:00,5434,1566624,900
85,../../data/meterdata/london/block_86.csv,24/04/2025 16:54:14 +02:00,24/04/2025 16:54:19 +02:00,5016,1392288,882
86,../../data/meterdata/london/block_92.csv,24/04/2025 16:54:19 +02:00,24/04/2025 16:54:24 +02:00,5099,1543728,882
87,../../data/meterdata/london/block_84.csv,24/04/2025 16:54:24 +02:00,24/04/2025 16:54:29 +02:00,5201,1351584,882
88,../../data/meterdata/london/block_90.csv,24/04/2025 16:54:29 +02:00,24/04/2025 16:54:35 +02:00,5413,1425312,882
89,../../data/meterdata/london/block_47.csv,24/04/2025 16:54:35 +02:00,24/04/2025 16:54:40 +02:00,5510,1684608,900
90,../../data/meterdata/london/block_53.csv,24/04/2025 16:54:40 +02:00,24/04/2025 16:54:46 +02:00,5546,1473552,905
91,../../data/meterdata/london/block_52.csv,24/04/2025 16:54:46 +02:00,24/04/2025 16:54:51 +02:00,4991,1501536,882
92,../../data/meterdata/london/block_46.csv,24/04/2025 16:54:51 +02:00,24/04/2025 16:54:56 +02:00,5770,1633872,882
93,../../data/meterdata/london/block_91.csv,24/04/2025 16:54:56 +02:00,24/04/2025 16:55:01 +02:00,4937,1425984,887
94,../../data/meterdata/london/block_85.csv,24/04/2025 16:55:01 +02:00,24/04/2025 16:55:07 +02:00,5347,1408080,828
